match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1216492,1,Mumbai Indians,Chennai Super Kings,0,1,RG Sharma,DL Chahar,Q de Kock,4,0,4,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,0,2,RG Sharma,DL Chahar,Q de Kock,1,0,1,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,0,3,Q de Kock,DL Chahar,RG Sharma,2,0,2,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,0,4,Q de Kock,DL Chahar,RG Sharma,4,0,4,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,0,5,Q de Kock,DL Chahar,RG Sharma,0,0,0,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,0,6,Q de Kock,DL Chahar,RG Sharma,1,0,1,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,1,1,Q de Kock,SM Curran,RG Sharma,0,0,0,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,1,2,Q de Kock,SM Curran,RG Sharma,0,0,0,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,1,3,Q de Kock,SM Curran,RG Sharma,1,0,1,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,1,4,RG Sharma,SM Curran,Q de Kock,4,0,4,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,1,5,RG Sharma,SM Curran,Q de Kock,1,0,1,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,1,6,Q de Kock,SM Curran,RG Sharma,1,0,1,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,2,1,Q de Kock,DL Chahar,RG Sharma,1,0,1,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,2,2,RG Sharma,DL Chahar,Q de Kock,0,0,0,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,2,3,RG Sharma,DL Chahar,Q de Kock,0,0,0,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,2,4,RG Sharma,DL Chahar,Q de Kock,1,0,1,,0,,,
1216492,1,Mumbai Indians,Chennai Super Kings,2,5,Q de Kock,DL Chahar,RG Sharma,4,0,4,,0,,,
